iter	RMSE
0	26.46430604
1	26.4634778
2	26.46271017
3	26.4619848
4	26.46126801
5	26.46064476
6	26.46001218
7	26.45953356
8	26.45898996
9	26.45842098
10	26.457919
11	26.45744703
12	26.45701921
13	26.45657676
14	26.45616208
15	26.4557882
16	26.45538558
17	26.45503544
18	26.45467091
19	26.45430232
20	26.45394536
21	26.45360086
22	26.45328283
23	26.4529547
24	26.45266371
25	26.45238729
26	26.45207759
27	26.45180413
28	26.45153883
29	26.45124341
30	26.4509967
31	26.45071254
32	26.45045732
33	26.45021281
34	26.44989861
35	26.44967925
36	26.44941785
37	26.44917709
38	26.44889922
39	26.44870801
40	26.44846294
41	26.44817848
42	26.44794451
43	26.44772245
44	26.44753229
45	26.44728986
46	26.44707604
47	26.44681627
48	26.44657887
49	26.44636501
50	26.44614137
51	26.44596062
52	26.44572231
53	26.44553817
54	26.44533234
55	26.44515237
56	26.44494132
57	26.44471328
58	26.44446377
59	26.44427633
60	26.44403723
61	26.44378835
62	26.44357304
63	26.4433935
64	26.44323732
65	26.44302906
66	26.44281174
67	26.44261688
68	26.44243275
69	26.44225414
70	26.44209274
71	26.44186778
72	26.44163083
73	26.44143388
74	26.44116998
75	26.44100323
76	26.4407976
77	26.44061867
78	26.44043391
79	26.44023332
80	26.44007203
81	26.43991603
82	26.43973971
83	26.43952154
84	26.43929175
85	26.43912309
86	26.43896364
87	26.43873171
88	26.43855735
89	26.43837508
90	26.43822886
91	26.43803717
92	26.43782158
93	26.43761226
94	26.43744495
95	26.43725898
96	26.43705734
97	26.43685674
98	26.43663746
99	26.43643245
