iter	Passed	Remaining
0	35	3484
1	70	3449
2	103	3347
3	136	3280
4	176	3360
5	212	3331
6	246	3277
7	280	3221
8	316	3195
9	352	3170
10	389	3148
11	424	3112
12	462	3096
13	500	3073
14	535	3036
15	578	3035
16	617	3015
17	653	2979
18	692	2951
19	731	2925
20	771	2900
21	808	2864
22	843	2822
23	882	2795
24	918	2756
25	957	2724
26	995	2690
27	1034	2660
28	1071	2624
29	1109	2588
30	1151	2561
31	1199	2549
32	1241	2520
33	1278	2482
34	1316	2444
35	1355	2409
36	1391	2368
37	1428	2330
38	1466	2293
39	1505	2258
40	1543	2221
41	1586	2191
42	1624	2153
43	1661	2114
44	1697	2074
45	1734	2036
46	1769	1995
47	1807	1957
48	1841	1916
49	1878	1878
50	1915	1840
51	1952	1802
52	1989	1764
53	2026	1726
54	2065	1689
55	2099	1649
56	2138	1613
57	2178	1577
58	2253	1566
59	2298	1532
60	2340	1496
61	2386	1462
62	2429	1426
63	2468	1388
64	2512	1352
65	2550	1313
66	2590	1276
67	2631	1238
68	2668	1199
69	2703	1158
70	2739	1119
71	2776	1079
72	2811	1040
73	2848	1000
74	2888	962
75	2929	924
76	2965	885
77	3006	847
78	3044	809
79	3082	770
80	3123	732
81	3184	699
82	3265	668
83	3309	630
84	3354	591
85	3406	554
86	3466	518
87	3522	480
88	3574	441
89	3634	403
90	3688	364
91	3758	326
92	3803	286
93	3853	245
94	3895	205
95	3942	164
96	3988	123
97	4038	82
98	4081	41
99	4119	0
